incident_number,calendaryear,month,incdate,problem,responsearea,prioritydescription,council_district,location,longitude,latitude
22053376,2022,Apr,04/20/2022 12:00:00 AM,BOXL- Structure Fire,00-0102,1F,-,"(-97.740083,30.271429)",-97.740083,30.271429
22053426,2022,Apr,04/20/2022 12:00:00 AM,BOX -Structure Fire,00-3001,1F,4,"(-97.690278,30.375334)",-97.690278,30.375334
22053462,2022,Apr,04/20/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2202,1F,3,"(-97.727876,30.227509)",-97.727876,30.227509
22053692,2022,Apr,04/21/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1602,1F,4,"(-97.707210,30.334279)",-97.70721,30.334279
22053821,2022,Apr,04/21/2022 12:00:00 AM,BOXL- Structure Fire,00-3611,1F,2,"(-97.782056,30.172529)",-97.782056,30.172529
22054397,2022,Apr,04/22/2022 12:00:00 AM,BOXS - Still Box Alarm,00-0901,1F,9,"(-97.730275,30.305715)",-97.730275,30.305715
22054561,2022,Apr,04/23/2022 12:00:00 AM,BOX -Structure Fire,00-2403,1F,2,"(-97.759873,30.182315)",-97.759873,30.182315
22054562,2022,Apr,04/23/2022 12:00:00 AM,BOX -Structure Fire,00-2403,1F,2,"(-97.759873,30.182315)",-97.759873,30.182315
22054567,2022,Apr,04/23/2022 12:00:00 AM,BOX -Structure Fire,00-1702,1F,3,"(-97.772992,30.221098)",-97.772992,30.221098
22054833,2022,Apr,04/23/2022 12:00:00 AM,BOXL- Structure Fire,00-1405,1F,9,"(-97.719310,30.298222)",-97.71931,30.298222
22055095,2022,Apr,04/24/2022 12:00:00 AM,BOX -Structure Fire,00-1802,1F,1,"(-97.677686,30.295138)",-97.677686,30.295138
22055389,2022,Apr,04/25/2022 12:00:00 AM,BOX -Structure Fire,00-0801,1F,4,"(-97.715949,30.369574)",-97.715949,30.369574
22055421,2022,Apr,04/25/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1802,1F,1,"(-97.677120,30.305146)",-97.67712,30.305146
22055511,2022,Apr,04/25/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3502,1F,3,"(-97.737180,30.219833)",-97.73718,30.219833
22055537,2022,Apr,04/25/2022 12:00:00 AM,BOXL- Structure Fire,00-0504,1F,1,"(-97.675467,30.296389)",-97.675467,30.296389
22055739,2022,Apr,04/25/2022 12:00:00 AM,BOXL- Structure Fire,00-4204,1F,2,"(-97.666118,30.202031)",-97.666118,30.202031
22055813,2022,Apr,04/25/2022 12:00:00 AM,BOXL- Structure Fire,00-2804,1F,7,"(-97.720448,30.395161)",-97.720448,30.395161
22056054,2022,Apr,04/26/2022 12:00:00 AM,BOXL- Structure Fire,00-2202,1F,3,"(-97.731689,30.233837)",-97.731689,30.233837
22056159,2022,Apr,04/26/2022 12:00:00 AM,BOXS - Still Box Alarm,00-4403,1F,6,"(-97.763538,30.441070)",-97.763538,30.44107
22056446,2022,Apr,04/27/2022 12:00:00 AM,BOX -Structure Fire,00-4003,1F,1,"(-97.643395,30.363658)",-97.643395,30.363658
22056490,2022,Apr,04/27/2022 12:00:00 AM,BOXL- Structure Fire,00-0601,1F,9,"(-97.750030,30.244801)",-97.75003,30.244801
22056612,2022,Apr,04/27/2022 12:00:00 AM,BOXL- Structure Fire,00-2402,1F,2,"(-97.734776,30.199725)",-97.734776,30.199725
22057104,2022,Apr,04/28/2022 12:00:00 AM,BOXL- Structure Fire,00-1401,1F,9,"(-97.709177,30.306746)",-97.709177,30.306746
22057239,2022,Apr,04/29/2022 12:00:00 AM,BOXS - Still Box Alarm,00-5102,1F,8,"(-97.816825,30.242452)",-97.816825,30.242452
22058089,2022,May,05/01/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2004,1F,5,"(-97.804689,30.224339)",-97.804689,30.224339
22058101,2022,May,05/01/2022 12:00:00 AM,BOX -Structure Fire,00-4504,1F,6,"(-97.801549,30.492948)",-97.801549,30.492948
22058108,2022,May,05/01/2022 12:00:00 AM,BOX -Structure Fire,00-4204,1F,2,"(-97.669693,30.202288)",-97.669693,30.202288
22058598,2022,May,05/02/2022 12:00:00 AM,BOXS - Still Box Alarm,00-4402,1F,6,"(-97.773633,30.436697)",-97.773633,30.436697
22058600,2022,May,05/02/2022 12:00:00 AM,BOXS - Still Box Alarm,00-0604,1F,9,"(-97.747132,30.256477)",-97.747132,30.256477
22058789,2022,May,05/02/2022 12:00:00 AM,BOXL- Structure Fire,00-0901,1F,9,"(-97.730275,30.305715)",-97.730275,30.305715
22058814,2022,May,05/02/2022 12:00:00 AM,BOX -Structure Fire,00-2001,1F,5,"(-97.810439,30.209793)",-97.810439,30.209793
22058840,2022,May,05/02/2022 12:00:00 AM,BOXS - Still Box Alarm,04-2608,1F,-,"(-97.647997,30.328685)",-97.647997,30.328685
22058843,2022,May,05/02/2022 12:00:00 AM,BOX -Structure Fire,00-3001,1F,4,"(-97.693122,30.369972)",-97.693122,30.369972
22058957,2022,May,05/03/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1801,1F,1,"(-97.665507,30.312335)",-97.665507,30.312335
22058979,2022,May,05/03/2022 12:00:00 AM,BOXL- Structure Fire,00-0805,1F,7,"(-97.737318,30.371638)",-97.737318,30.371638
