county,tract_code,population,total_units,"1-unit, detached","1-unit, attached",total_units_age,Built 2010-2019,Built 2020 or later,Built 1939 or earlier,single_family_units,multifamily_units,pct_single_family,pct_built_2010_plus,pct_built_pre1970,median_income,land_area_m2,population_density,urban_class
453,000206,3906,1952,844,108,1952,132,0,139,952,1000,48.77049180327869,6.762295081967213,7.120901639344263,97123,1480808,6831.770222743259,INNER_SUBURBAN
453,000302,5474,3523,1280,220,3523,94,0,746,1500,2023,42.57734885041158,2.6681805279591257,21.17513482827136,58235,2052163,6908.6422472289,INNER_SUBURBAN
453,000304,3054,1676,852,121,1676,127,0,202,973,703,58.05489260143199,7.577565632458234,12.052505966587113,97500,1192522,6632.883921638343,INNER_SUBURBAN
453,000305,3529,1989,893,171,1989,189,0,287,1064,925,53.494218200100555,9.502262443438914,14.429361488185016,72101,1479019,6179.846235917185,INNER_SUBURBAN
453,000307,1875,881,578,67,881,56,0,7,645,236,73.2122587968218,6.3564131668558455,0.7945516458569807,119896,1214341,3999.08263000261,INNER_SUBURBAN
453,000308,2258,1090,253,300,1090,873,48,0,553,537,50.73394495412844,84.4954128440367,0.0,67650,1466970,3986.5982262759294,INNER_SUBURBAN
453,000309,5267,2913,832,408,2913,1622,0,0,1240,1673,42.56779951939581,55.681428081016136,0.0,126118,1902076,7171.9163692723105,INNER_SUBURBAN
453,000401,4516,2321,850,29,2321,721,0,149,879,1442,37.87160706591986,31.064196467040066,6.419646704006894,82500,2182693,5358.719710009607,INNER_SUBURBAN
453,000402,3207,1803,758,51,1803,495,0,90,809,994,44.86966167498613,27.454242928452576,4.9916805324459235,71489,1543583,5381.071183085069,INNER_SUBURBAN
453,000500,3931,2386,770,25,2386,11,0,741,795,1591,33.31936295054484,0.4610226320201173,31.056160938809725,57447,1152032,8837.679856115108,INNER_SUBURBAN
453,000601,10105,458,87,9,458,62,0,64,96,362,20.96069868995633,13.537117903930133,13.973799126637553,15545,1113390,23506.543080142626,URBAN_CORE
453,000605,2779,1549,129,0,1549,270,16,99,129,1420,8.327953518398967,18.463524854744996,6.391220142027114,9060,476629,15101.074420566101,URBAN_CORE
453,000606,4553,2027,20,92,2027,541,0,29,112,1915,5.5254070054267395,26.68968919585594,1.4306857424765662,10212,313560,37607.698686056894,URBAN_CORE
453,000607,3038,1582,88,0,1582,27,0,112,88,1494,5.562579013906448,1.7067003792667508,7.079646017699115,14231,477837,16466.744936034673,URBAN_CORE
453,000608,3627,1030,71,0,1030,567,0,0,71,959,6.893203883495145,55.04854368932038,0.0,3794,189019,49698.3372041964,URBAN_CORE
453,000700,1321,894,41,15,894,75,0,87,56,838,6.263982102908278,8.389261744966444,9.731543624161073,72321,1615143,2118.3201735078565,OUTER_SUBURBAN
453,000801,2000,971,700,53,971,304,52,159,753,218,77.54891864057673,36.66323377960865,16.374871266735326,97596,1297989,3990.788827948465,INNER_SUBURBAN
453,000802,3912,1586,666,91,1586,263,26,27,757,829,47.730138713745276,18.221941992433795,1.7023959646910467,69904,1711811,5918.924460702729,INNER_SUBURBAN
453,000803,3300,1915,1113,154,1915,734,30,458,1267,648,66.16187989556136,39.89556135770235,23.91644908616188,82961,1444991,5914.915733039168,INNER_SUBURBAN
453,000804,2607,1181,701,76,1181,198,5,449,777,404,65.79170194750212,17.18882303132938,38.01862828111769,64554,1047634,6445.123010517032,INNER_SUBURBAN
453,000901,3171,1434,600,42,1434,593,24,159,642,792,44.76987447698745,43.02649930264993,11.08786610878661,108377,867121,9471.446314874163,INNER_SUBURBAN
453,000902,6016,4074,1178,63,4074,1887,67,339,1241,2833,30.461462935689738,47.96269023073147,8.321060382916052,87125,3041426,5123.070559665104,INNER_SUBURBAN
453,001000,3291,1682,1298,66,1682,228,12,521,1364,318,81.09393579072533,14.26872770511296,30.975029726516052,89036,1981569,4301.48533813357,INNER_SUBURBAN
453,001101,1755,877,6,0,877,202,0,193,6,871,0.6841505131128849,23.033067274800455,22.006841505131128,101936,1144730,3970.7616643225915,INNER_SUBURBAN
453,001102,3571,2695,66,0,2695,777,10,0,66,2629,2.4489795918367347,29.20222634508349,0.0,167866,454898,20331.788664711647,URBAN_CORE
453,001103,3522,2581,24,0,2581,791,0,0,24,2557,0.9298721425803952,30.64703603254553,0.0,161576,838017,10885.19683968225,URBAN_CORE
453,001200,6842,4560,598,130,4560,1864,13,551,728,3832,15.964912280701753,41.16228070175438,12.083333333333334,146000,2351555,7535.771011096913,INNER_SUBURBAN
453,001304,3966,2145,935,607,2145,547,0,41,1542,603,71.88811188811188,25.501165501165502,1.9114219114219115,118961,1827986,5619.266230704174,INNER_SUBURBAN
453,001307,5081,2370,898,265,2370,362,58,115,1163,1207,49.07172995780591,17.72151898734177,4.852320675105485,73047,1769497,7437.023063616383,INNER_SUBURBAN
453,001308,3191,1796,548,221,1796,464,0,30,769,1027,42.8173719376392,25.83518930957684,1.670378619153675,99609,1275625,6478.933855952964,INNER_SUBURBAN
453,001309,2897,1671,526,74,1671,671,16,133,600,1071,35.90664272890485,41.11310592459605,7.959305804907241,144464,1061283,7069.961546543193,INNER_SUBURBAN
453,001310,3908,2658,389,99,2658,1461,0,5,488,2170,18.35966892400301,54.966139954853276,0.18811136192626035,95781,635009,15939.490621392768,URBAN_CORE
453,001311,1379,1159,111,15,1159,377,21,57,126,1033,10.87144089732528,34.33994823123383,4.918032786885246,106458,1106338,3228.3172050494513,INNER_SUBURBAN
