incident_number,calendaryear,month,incdate,call_type,problem,responsearea,jurisdiction,prioritydescription,council_district,location,longitude,latitude,is_nonconfined_structure_fire,is_confined_structure_fire,is_structure_fire,is_vehicle_fire,is_outdoor_fire,is_trash_fire,incident_category,PARCEL_ID,PROP_ID,LAND_USE,GENERAL_LAND_USE,PROPERTY_ADDRESS,IMPRV_TYPE,BLDG_SQUARE_FOOTAGE,YEAR_BUILT,UNITS,ZONING_ZTYPE,ZONING_BASE,COUNCIL_DISTRICT,MARKET_VALUE,APPRAISED_VAL,LAND_ACRES,FAR,zoning_label,zoning_category,census_tract_geoid,census_county_fips,census_tract_name,census_tract_land_area_sqm,census_population,housing_total_units,housing_1_detached,housing_1_attached,housing_2_units,housing_3_4_units,housing_5_9_units,housing_10_19_units,housing_20_49_units,housing_50plus_units,housing_mobile_home,housing_boat_rv_van,yrbuilt_total,yrbuilt_2020_later,yrbuilt_2010_2019,yrbuilt_2000_2009,yrbuilt_1990_1999,yrbuilt_1980_1989,yrbuilt_1970_1979,yrbuilt_1960_1969,yrbuilt_1950_1959,yrbuilt_1940_1949,yrbuilt_1939_earlier,IMPRV_CLEAN
23097342,2023,Jul,07/15/2023 12:00:00 AM,Fire,BOX -Structure Fire,00-1801,AFD,1F,1,"(-97.677829,30.312862)",-97.677829,30.312862,True,False,True,False,False,False,Structure Fire (non-confined),0222210537,220991.0,100.0,100.0,6403 B CHIMNEY CREEK CIR 78723,TOWNHOMES,,1971.0,32.0,SF-3-NP,SF,4.0,448231.0,448231.0,0.1421,0.01273119,Single Family Residential (Neighborhood Plan),Residential,48453002112.0,453.0,21.12,1703455.0,6244.0,2332.0,964.0,118.0,287.0,117.0,115.0,227.0,187.0,317.0,0.0,0.0,2332.0,9.0,432.0,78.0,81.0,523.0,319.0,513.0,311.0,51.0,15.0,TOWNHOMES
23099347,2023,Jul,07/19/2023 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-3001,AFD,3F,4,"(-97.697201,30.368685)",-97.697201,30.368685,False,False,False,False,True,False,Outdoor/Vegetation Fire,0243170271,249245.0,100.0,100.0,"902 EAST VILLAGE LN, TX 78758",TOWNHOMES                ,1137.0,1973.0,1.0,PUD-NP,PUD,4.0,265000.0,265000.0,0.1063,1.033558,Planned Unit Development (Neighborhood Plan),Mixed/Planned,48453040900.0,453.0,409.0,1749084.0,6507.0,2482.0,736.0,286.0,187.0,190.0,466.0,512.0,91.0,14.0,0.0,0.0,2482.0,0.0,128.0,13.0,291.0,381.0,1528.0,48.0,93.0,0.0,0.0,TOWNHOMES
23099824,2023,Jul,07/20/2023 12:00:00 AM,Fire,TRASH - Trash Fire,00-3001,AFD,3F,4,"(-97.697101,30.368713)",-97.697101,30.368713,False,False,False,False,False,True,Trash/Dumpster Fire,0243170272,249246.0,100.0,100.0,"900 EAST VILLAGE LN, TX 78758",TOWNHOMES                ,930.0,1973.0,1.0,PUD-NP,PUD,4.0,262647.0,262647.0,0.0994,0.7214432,Planned Unit Development (Neighborhood Plan),Mixed/Planned,48453040900.0,453.0,409.0,1749084.0,6507.0,2482.0,736.0,286.0,187.0,190.0,466.0,512.0,91.0,14.0,0.0,0.0,2482.0,0.0,128.0,13.0,291.0,381.0,1528.0,48.0,93.0,0.0,0.0,TOWNHOMES
23101037,2023,Jul,07/23/2023 12:00:00 AM,Fire,ELEC - Electrical Fire,00-3102,AFD,3F,10,"(-97.786240,30.372199)",-97.78624,30.372199,False,True,True,False,False,False,Structure Fire (confined),0145111013,496678.0,220.0,200.0,7211 A-101 LAKEWOOD DR 78750,TOWNHOMES,,1983.0,57.0,PUD,PUD,10.0,387262.0,387262.0,0.1454,0.003950763,Planned Unit Development,Mixed/Planned,48453030500.0,453.0,305.0,20852702.0,6951.0,3479.0,1690.0,280.0,32.0,96.0,106.0,290.0,479.0,506.0,0.0,0.0,3479.0,0.0,579.0,799.0,976.0,651.0,126.0,318.0,16.0,0.0,14.0,TOWNHOMES
23101764,2023,Jul,07/24/2023 12:00:00 AM,Fire,TRASH - Trash Fire,00-2004,AFD,3F,5,"(-97.804535,30.219445)",-97.804535,30.219445,False,False,False,False,False,True,Trash/Dumpster Fire,0412150610,510802.0,100.0,100.0,"2516 STOUTWOOD CIR, AUSTIN, TX 78745",TOWNHOMES                ,1319.0,1978.0,1.0,PUD-NP,PUD,5.0,373227.0,373227.0,0.1631,0.5183597,Planned Unit Development (Neighborhood Plan),Mixed/Planned,48453030300.0,453.0,303.0,2315778.0,4298.0,2131.0,1080.0,195.0,74.0,305.0,17.0,140.0,100.0,195.0,25.0,0.0,2131.0,0.0,30.0,20.0,79.0,295.0,643.0,853.0,211.0,0.0,0.0,TOWNHOMES
23101892,2023,Jul,07/25/2023 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-3103,AFD,3F,10,"(-97.785635,30.371535)",-97.785635,30.371535,False,False,False,False,True,False,Outdoor/Vegetation Fire,0145111013,496678.0,220.0,200.0,7211 A-101 LAKEWOOD DR 78750,TOWNHOMES,,1983.0,57.0,PUD,PUD,10.0,387262.0,387262.0,0.1454,0.003950763,Planned Unit Development,Mixed/Planned,48453030000.0,453.0,300.0,5399226.0,4279.0,2200.0,1248.0,114.0,9.0,176.0,95.0,208.0,0.0,310.0,0.0,40.0,2200.0,0.0,143.0,111.0,475.0,567.0,347.0,490.0,55.0,12.0,0.0,TOWNHOMES
23106197,2023,Aug,08/03/2023 12:00:00 AM,Fire,TRASH - Trash Fire,00-2004,AFD,3F,5,"(-97.805151,30.219624)",-97.805151,30.219624,False,False,False,False,False,True,Trash/Dumpster Fire,0412150615,510807.0,100.0,100.0,"2532 STOUTWOOD CIR, TX 78745",TOWNHOMES                ,985.0,1978.0,1.0,PUD-NP,PUD,5.0,327129.0,327129.0,0.1631,0.3976991,Planned Unit Development (Neighborhood Plan),Mixed/Planned,48453030300.0,453.0,303.0,2315778.0,4298.0,2131.0,1080.0,195.0,74.0,305.0,17.0,140.0,100.0,195.0,25.0,0.0,2131.0,0.0,30.0,20.0,79.0,295.0,643.0,853.0,211.0,0.0,0.0,TOWNHOMES
23111112,2023,Aug,08/12/2023 12:00:00 AM,Fire,ELEC - Electrical Fire,00-0303,AFD,3F,9,"(-97.739561,30.299813)",-97.739561,30.299813,False,True,True,False,False,False,Structure Fire (confined),0218031705,212741.0,100.0,100.0,"506 W 33 ST, TX 78705",TOWNHOMES                ,2130.0,1981.0,1.0,SF-3-HD-NCCD-NP,SF,9.0,601203.0,601203.0,0.0801,0.6148538,Single Family Residential (Neighborhood Plan),Residential,48453000500.0,453.0,5.0,1152032.0,3931.0,2386.0,770.0,25.0,214.0,196.0,327.0,326.0,477.0,51.0,0.0,0.0,2386.0,0.0,11.0,135.0,295.0,330.0,347.0,279.0,162.0,86.0,741.0,TOWNHOMES
23112700,2023,Aug,08/14/2023 12:00:00 AM,Fire,ELEC - Electrical Fire,00-1001,AFD,3F,10,"(-97.769685,30.289504)",-97.769685,30.289504,False,True,True,False,False,False,Structure Fire (confined),0114050817,114230.0,220.0,200.0,2500 1 ENFIELD RD 78703,TOWNHOMES,,1982.0,10.0,MF-3-NP,MF,10.0,498586.0,498586.0,0.0492,0.05353734,Multifamily Residential (Neighborhood Plan),Residential,48453001605.0,453.0,16.05,1894186.0,4712.0,2469.0,1305.0,25.0,116.0,208.0,147.0,424.0,225.0,19.0,0.0,0.0,2469.0,0.0,157.0,132.0,93.0,271.0,176.0,204.0,253.0,507.0,676.0,TOWNHOMES
23113965,2023,Aug,08/17/2023 12:00:00 AM,Fire,TRASH - Trash Fire,00-2004,AFD,3F,5,"(-97.805151,30.219624)",-97.805151,30.219624,False,False,False,False,False,True,Trash/Dumpster Fire,0412150615,510807.0,100.0,100.0,"2532 STOUTWOOD CIR, TX 78745",TOWNHOMES                ,985.0,1978.0,1.0,PUD-NP,PUD,5.0,327129.0,327129.0,0.1631,0.3976991,Planned Unit Development (Neighborhood Plan),Mixed/Planned,48453030300.0,453.0,303.0,2315778.0,4298.0,2131.0,1080.0,195.0,74.0,305.0,17.0,140.0,100.0,195.0,25.0,0.0,2131.0,0.0,30.0,20.0,79.0,295.0,643.0,853.0,211.0,0.0,0.0,TOWNHOMES
